id,neighborhood,host_since,superhost,host_acceptance_rate,host_total_listings,room_type,accommodates,bathrooms,bedrooms,beds,price,min_nights,total_reviews,avg_rating
1029,Union Station,6/1/2014,T,0.98,2,Entire home/apt,4,1 bath,1,2,181,2,280,4.84
1031,Capitol Hill,3/25/2017,T,1,2,Entire home/apt,5,1 bath,2,3,150,31,61,4.57
1032,Shaw,8/15/2016,T,0.99,5,Entire home/apt,8,2.5 baths,3,5,450,3,147,4.93
1035,Capitol Hill,8/18/2017,F,0.76,51,Shared room,1,1 shared bath,,1,29,1,66,4.56
1036,Capitol Hill,8/18/2017,F,0.76,51,Shared room,6,1 shared bath,,6,29,1,14,4.43
1038,Union Station,7/10/2014,F,1,8,Private room,1,1 private bath,,1,114,31,1,1
1039,Union Station,9/2/2013,F,1,14,Entire home/apt,4,1 bath,1,2,115,1,329,4.74
1043,Georgetown,12/31/2008,F,0.89,3,Entire home/apt,3,1 bath,2,2,193,5,29,5
1045,Shaw,10/6/2013,T,,18,Entire home/apt,10,2.5 baths,3,7,1030,2,96,4.88
1046,Georgetown,10/26/2014,F,0.44,2,Entire home/apt,4,2 baths,2,2,249,7,6,5
1048,Dupont Circle,12/23/2012,T,1,9,Entire home/apt,2,1 bath,2,2,140,7,8,4.88
1049,Capitol Hill,8/27/2013,T,1,1,Entire home/apt,5,1 bath,2,3,123,2,211,4.92
1050,Union Station,11/19/2015,F,0.96,1,Entire home/apt,3,1 bath,1,1,135,2,34,4.82
